collected_at,rank,name,appid,player_count
2026-02-19T17:01:31,1,"Counter-Strike 2",730,1145607
2026-02-19T17:01:31,2,"Dota 2",570,577865
2026-02-19T17:01:31,3,"PUBG: BATTLEGROUNDS",578080,135920
2026-02-19T17:01:31,4,"Wallpaper Engine",431960,49912
2026-02-19T17:01:31,5,"ARC Raiders",1808500,199372
2026-02-19T17:01:31,6,Terraria,105600,74330
2026-02-19T17:01:31,7,"HELLDIVERS™ 2",553850,86347
2026-02-19T17:01:31,8,"Overwatch®",2357570,105722
2026-02-19T17:01:31,9,"Apex Legends™",1172470,57659
2026-02-19T17:01:31,10,"Marvel Rivals",2767030,93284
2026-02-19T17:03:53,1,"Counter-Strike 2",730,1145607
2026-02-19T17:03:53,2,"Dota 2",570,577865
2026-02-19T17:03:53,3,"PUBG: BATTLEGROUNDS",578080,135920
2026-02-19T17:03:53,4,"Wallpaper Engine",431960,49912
2026-02-19T17:03:53,5,"ARC Raiders",1808500,199372
2026-02-19T17:03:53,6,Terraria,105600,74330
2026-02-19T17:03:53,7,"HELLDIVERS™ 2",553850,86347
2026-02-19T17:03:53,8,"Overwatch®",2357570,105722
2026-02-19T17:03:53,9,"Apex Legends™",1172470,57659
2026-02-19T17:03:53,10,"Marvel Rivals",2767030,93284
2026-02-19T17:04:44,1,"Counter-Strike 2",730,1145607
2026-02-19T17:04:44,2,"Dota 2",570,577865
2026-02-19T17:04:44,3,"PUBG: BATTLEGROUNDS",578080,135920
2026-02-19T17:04:44,4,"Wallpaper Engine",431960,49912
2026-02-19T17:04:44,5,"ARC Raiders",1808500,199372
2026-02-19T17:04:44,6,Terraria,105600,74330
2026-02-19T17:04:44,7,"HELLDIVERS™ 2",553850,86347
2026-02-19T17:04:44,8,"Overwatch®",2357570,105722
2026-02-19T17:04:44,9,"Apex Legends™",1172470,57659
2026-02-19T17:04:44,10,"Marvel Rivals",2767030,93284
2026-02-19T17:11:14,1,"Counter-Strike 2",730,1145607
2026-02-19T17:11:14,2,"Dota 2",570,577865
2026-02-19T17:11:14,3,"PUBG: BATTLEGROUNDS",578080,135920
2026-02-19T17:11:14,4,"Wallpaper Engine",431960,49912
2026-02-19T17:11:14,5,"ARC Raiders",1808500,199372
2026-02-19T17:11:14,6,Terraria,105600,74330
2026-02-19T17:11:14,7,"HELLDIVERS™ 2",553850,86347
2026-02-19T17:11:14,8,"Overwatch®",2357570,105722
2026-02-19T17:11:14,9,"Apex Legends™",1172470,57659
2026-02-19T17:11:14,10,"Marvel Rivals",2767030,93284
2026-02-19T17:12:48,1,"Counter-Strike 2",730,1145607
2026-02-19T17:12:48,2,"Dota 2",570,577865
2026-02-19T17:12:48,3,"PUBG: BATTLEGROUNDS",578080,127727
2026-02-19T17:12:48,4,"Wallpaper Engine",431960,49912
2026-02-19T17:12:48,5,"ARC Raiders",1808500,199372
2026-02-19T17:12:48,6,Terraria,105600,74330
2026-02-19T17:12:48,7,"HELLDIVERS™ 2",553850,86347
2026-02-19T17:12:48,8,"Overwatch®",2357570,105722
2026-02-19T17:12:48,9,"Apex Legends™",1172470,55997
2026-02-19T17:12:48,10,"Marvel Rivals",2767030,93284
2026-02-19T17:15:02,1,"Counter-Strike 2",730,1145607
2026-02-19T17:15:02,2,"Dota 2",570,577865
2026-02-19T17:15:02,3,"PUBG: BATTLEGROUNDS",578080,127727
2026-02-19T17:15:02,4,"Wallpaper Engine",431960,49912
2026-02-19T17:15:02,5,"ARC Raiders",1808500,199372
2026-02-19T17:15:02,6,Terraria,105600,74330
2026-02-19T17:15:02,7,"HELLDIVERS™ 2",553850,86347
2026-02-19T17:15:02,8,"Overwatch®",2357570,104578
2026-02-19T17:15:02,9,"Apex Legends™",1172470,55997
2026-02-19T17:15:02,10,"Marvel Rivals",2767030,93284
2026-02-19T17:30:01,1,"Counter-Strike 2",730,1068563
2026-02-19T17:30:01,2,"Dota 2",570,537142
2026-02-19T17:30:01,3,"PUBG: BATTLEGROUNDS",578080,120063
2026-02-19T17:30:01,4,"Wallpaper Engine",431960,49041
2026-02-19T17:30:01,5,"ARC Raiders",1808500,198853
2026-02-19T17:30:01,6,Terraria,105600,73570
2026-02-19T17:30:01,7,"HELLDIVERS™ 2",553850,82774
2026-02-19T17:30:01,8,"Overwatch®",2357570,103998
2026-02-19T17:30:01,9,"Apex Legends™",1172470,54527
2026-02-19T17:30:01,10,"Marvel Rivals",2767030,94043
2026-02-19T17:45:01,1,"Counter-Strike 2",730,1027398
2026-02-19T17:45:01,2,"Dota 2",570,526035
2026-02-19T17:45:01,3,"PUBG: BATTLEGROUNDS",578080,113424
2026-02-19T17:45:01,4,"Wallpaper Engine",431960,47692
